answerKey,id,choices,stem,choice_0,choice_1,choice_2,choice_3,choice_4,label
E,d63fae48dca3356bfd6dc82925c40bac,"[{'label': 'A', 'text': 'killing people'}, {'label': 'B', 'text': 'people die'}, {'label': 'C', 'text': 'evil'}, {'label': 'D', 'text': 'defeat'}, {'label': 'E', 'text': 'death and destruction'}]",What is the large-sclae  general result of waging war?,killing people,people die,evil,defeat,death and destruction,4
C,86c59f14af97b33ec13edc6ec4389e31,"[{'label': 'A', 'text': 'desk drawer'}, {'label': 'B', 'text': 'inkwell'}, {'label': 'C', 'text': 'blotter'}, {'label': 'D', 'text': ""calligrapher's hand""}, {'label': 'E', 'text': 'shirt pocket'}]",What do people use to absorb extra ink from a fountain pen?,desk drawer,inkwell,blotter,calligrapher's hand,shirt pocket,2
D,b313cc908e31ea60e6b062deaac7dd04,"[{'label': 'A', 'text': 'lose weight'}, {'label': 'B', 'text': 'fatigue'}, {'label': 'C', 'text': 'aerobic activity'}, {'label': 'D', 'text': 'get tired'}, {'label': 'E', 'text': 'drink water'}]","The trainer told him to keep doing the same exercise, he said he had to keep doing it until he what?",lose weight,fatigue,aerobic activity,get tired,drink water,3
A,8fb1a2225e6da4e1172dbeb98dffdabd,"[{'label': 'A', 'text': 'show'}, {'label': 'B', 'text': 'opera'}, {'label': 'C', 'text': 'television'}, {'label': 'D', 'text': 'theater'}, {'label': 'E', 'text': 'na'}]","Some actors are very talented, they can get any emotion to what?",show,opera,television,theater,na,0
C,424ccc1273d06f1f8008affe57910e38,"[{'label': 'A', 'text': 'brass band'}, {'label': 'B', 'text': 'american army'}, {'label': 'C', 'text': 'army corps'}, {'label': 'D', 'text': 'military band'}, {'label': 'E', 'text': 'boys scout'}]",What are you a part of if you hear a bugle in the mornings?,brass band,american army,army corps,military band,boys scout,2
B,6da01e082121412d5dfa2ada166e7c47,"[{'label': 'A', 'text': 'fucking'}, {'label': 'B', 'text': 'compromises'}, {'label': 'C', 'text': 'calmness'}, {'label': 'D', 'text': 'hug'}, {'label': 'E', 'text': 'uncertainty'}]",Reaching tentative agreement is the first result when two side make what to come closer together?,fucking,compromises,calmness,hug,uncertainty,1
B,b590f6cd323ca13f58a5899e043f8060,"[{'label': 'A', 'text': 'country'}, {'label': 'B', 'text': 'board room'}, {'label': 'C', 'text': 'trouble'}, {'label': 'D', 'text': 'press conference'}, {'label': 'E', 'text': 'election'}]",Where is the president likely to meet others?,country,board room,trouble,press conference,election,1
D,6d43354352903ac7ba5bfee738e32773,"[{'label': 'A', 'text': 'cedar chest'}, {'label': 'B', 'text': 'livingroom'}, {'label': 'C', 'text': 'babies mouth'}, {'label': 'D', 'text': 'world'}, {'label': 'E', 'text': 'outside'}]",Where are you likely to find a comforter in many beds?,cedar chest,livingroom,babies mouth,world,outside,3
A,ca19d2cd29de013dd5e466bd23c11223,"[{'label': 'A', 'text': 'shock'}, {'label': 'B', 'text': 'hurt'}, {'label': 'C', 'text': 'joy'}, {'label': 'D', 'text': 'satisfaction'}, {'label': 'E', 'text': 'understanding'}]","The person had always assumed, but discovering the truth came as a what?",shock,hurt,joy,satisfaction,understanding,0
A,f32446abd5fda92d076d38e1076d5edd,"[{'label': 'A', 'text': 'bring rain'}, {'label': 'B', 'text': 'awe inspiring'}, {'label': 'C', 'text': 'cloud vision'}, {'label': 'D', 'text': 'rain water'}, {'label': 'E', 'text': 'weather'}]",What are dark clouds likely to do?,bring rain,awe inspiring,cloud vision,rain water,weather,0
B,b9d17f542983ca77d70a7485c186b486,"[{'label': 'A', 'text': 'fridge'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'greengrocer'}, {'label': 'D', 'text': 'in your grocery bag'}, {'label': 'E', 'text': 'grocery store'}]",Where would you get an apple that you already bought?,fridge,refrigerator,greengrocer,in your grocery bag,grocery store,1
D,8ec4a5cfff8a696d3c6818b31e541d87,"[{'label': 'A', 'text': 'constructing'}, {'label': 'B', 'text': 'kiss'}, {'label': 'C', 'text': 'making things'}, {'label': 'D', 'text': 'playing around'}, {'label': 'E', 'text': 'hug'}]","The two were wrestling, having fun and what?",constructing,kiss,making things,playing around,hug,3
B,941739fc3c70b4b0804d1219b998a2c2,"[{'label': 'A', 'text': 'tibet'}, {'label': 'B', 'text': 'orchestra'}, {'label': 'C', 'text': 'music store'}, {'label': 'D', 'text': 'band'}, {'label': 'E', 'text': 'chinatown'}]","The conductor ordered the gong to sound, who was the gong player playing with?",tibet,orchestra,music store,band,chinatown,1
B,83554add726aabdbdc1ba2a85daec468,"[{'label': 'A', 'text': 'k mart'}, {'label': 'B', 'text': 'buying'}, {'label': 'C', 'text': 'clothing store'}, {'label': 'D', 'text': 'overpriced'}, {'label': 'E', 'text': 'expensive'}]",If you need an item is it a good idea to wait for a sale before what?,k mart,buying,clothing store,overpriced,expensive,1
B,1074644524e7a41f4425a9584b77232d,"[{'label': 'A', 'text': 'attic'}, {'label': 'B', 'text': 'music room'}, {'label': 'C', 'text': 'band room'}, {'label': 'D', 'text': 'orchestra'}, {'label': 'E', 'text': 'string quartet'}]",Where would you store a violin along with all of your other instruments?,attic,music room,band room,orchestra,string quartet,1
C,d5ad7198f48e18c1942498af120b1c6d,"[{'label': 'A', 'text': 'beehive'}, {'label': 'B', 'text': 'front door'}, {'label': 'C', 'text': 'apartment building'}, {'label': 'D', 'text': 'porch'}, {'label': 'E', 'text': 'post office'}]",The mailbox is just inside the entrance of what structure containing many homes?,beehive,front door,apartment building,porch,post office,2
E,ea9e9b3ebc206b50dad48aef809f99cb,"[{'label': 'A', 'text': 'bad breath'}, {'label': 'B', 'text': 'four legs'}, {'label': 'C', 'text': 'bones'}, {'label': 'D', 'text': 'wagging tails'}, {'label': 'E', 'text': 'fleas'}]",What do dogs get that make them itch?,bad breath,four legs,bones,wagging tails,fleas,4
D,a3f9db6d930684448c161ab7306402b3,"[{'label': 'A', 'text': 'bad karma'}, {'label': 'B', 'text': 'punishment'}, {'label': 'C', 'text': 'jail time'}, {'label': 'D', 'text': 'will resent'}, {'label': 'E', 'text': 'kick and kiss'}]",How is someone likely to feel about someone hurting someone else they love?,bad karma,punishment,jail time,will resent,kick and kiss,3
D,019723372ddd53350d4a7e5c295b3f3d,"[{'label': 'A', 'text': 'gy mnasiu m'}, {'label': 'B', 'text': 'seashore'}, {'label': 'C', 'text': 'locker room'}, {'label': 'D', 'text': 'motel room'}, {'label': 'E', 'text': 'bath room'}]",A shower is an expected amenity when you reserve a what?,gy mnasiu m,seashore,locker room,motel room,bath room,3
D,65e20261e5bb77dd18250db17599b002,"[{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'his bedroom'}, {'label': 'C', 'text': 'restaurant'}, {'label': 'D', 'text': 'table'}, {'label': 'E', 'text': 'dishwasher'}]",Where would my son place his paper plate?,cabinet,his bedroom,restaurant,table,dishwasher,3
C,b75f23fae8a729c8b82b1348ad14ea53,"[{'label': 'A', 'text': 'state'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'michigan'}, {'label': 'D', 'text': 'hospital'}, {'label': 'E', 'text': 'minnesota'}]",Where would a dental office be furthest in the direction of the side that won the Civil War?,state,city,michigan,hospital,minnesota,2
D,f5fb653bd5d5a75dfa8e7b1afcff6092,"[{'label': 'A', 'text': 'court'}, {'label': 'B', 'text': 'chess game'}, {'label': 'C', 'text': 'chess set'}, {'label': 'D', 'text': 'deck of cards'}, {'label': 'E', 'text': 'hierarchy'}]","The magician guessed it was a king, he was very good with a what?",court,chess game,chess set,deck of cards,hierarchy,3
B,65dc0850d163d0c2041c61201b56eddb,"[{'label': 'A', 'text': 'sustaining life'}, {'label': 'B', 'text': 'asthma attacks'}, {'label': 'C', 'text': 'giving life'}, {'label': 'D', 'text': 'living'}, {'label': 'E', 'text': 'files'}]",What causes a difficulty in breathing?,sustaining life,asthma attacks,giving life,living,files,1
C,d2546aa6845be9925fdb91e0df00ce86,"[{'label': 'A', 'text': 'compliments'}, {'label': 'B', 'text': 'get laid'}, {'label': 'C', 'text': 'popularity'}, {'label': 'D', 'text': 'busy'}, {'label': 'E', 'text': 'accomplish goals'}]",This person has lots of friends what do they rank high in?,compliments,get laid,popularity,busy,accomplish goals,2
A,834d3c1c38698de9468b771d88acfb0f,"[{'label': 'A', 'text': 'belittle'}, {'label': 'B', 'text': 'diss'}, {'label': 'C', 'text': 'disregard'}, {'label': 'D', 'text': 'castrate'}, {'label': 'E', 'text': 'contemn'}]","The coach explained respect to the players before the game against the worst team in the league, he didn't want his players to what to the opponents?",belittle,diss,disregard,castrate,contemn,0
E,7914facfac0229988dbd1f08de595257,"[{'label': 'A', 'text': 'own resources'}, {'label': 'B', 'text': 'branch out'}, {'label': 'C', 'text': 'commit crime'}, {'label': 'D', 'text': 'game over'}, {'label': 'E', 'text': 'liquidated'}]",what happens to a company when it is bankrupt?,own resources,branch out,commit crime,game over,liquidated,4
B,2cb775325df20ac6292b7ba5e2bbae02,"[{'label': 'A', 'text': 'impatience'}, {'label': 'B', 'text': 'promotion'}, {'label': 'C', 'text': 'pressure'}, {'label': 'D', 'text': 'new car'}, {'label': 'E', 'text': 'boredom'}]",He fantasied about getting a what while driving to work and the pros and cons of the extra responsibilities and benefits?,impatience,promotion,pressure,new car,boredom,1
D,93cdaa3a2af5822034be244004277fa3,"[{'label': 'A', 'text': 'regular'}, {'label': 'B', 'text': 'flimsy'}, {'label': 'C', 'text': 'forceless'}, {'label': 'D', 'text': 'fragile'}, {'label': 'E', 'text': 'weak'}]",Glass that hasn't been treated to be extra strong is what?,regular,flimsy,forceless,fragile,weak,3
E,8f4591cb370b5916557e55634396841b,"[{'label': 'A', 'text': 'race'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'road'}, {'label': 'D', 'text': 'race track'}, {'label': 'E', 'text': 'freeway'}]",Where do commuters usually move quickly?,race,city,road,race track,freeway,4
B,165a96bd3b03db4079b9af92af22ae99,"[{'label': 'A', 'text': 'radio'}, {'label': 'B', 'text': 'stringed instrument'}, {'label': 'C', 'text': 'tunnel'}, {'label': 'D', 'text': 'transportation system'}, {'label': 'E', 'text': 'spectacles'}]","He admired the neck and bridge, and then decided to play the what?",radio,stringed instrument,tunnel,transportation system,spectacles,1
C,8bdb3ffad0fc498e9f27e5ee9aa98340,"[{'label': 'A', 'text': 'having friends'}, {'label': 'B', 'text': 'printer'}, {'label': 'C', 'text': 'phone'}, {'label': 'D', 'text': 'smoke'}, {'label': 'E', 'text': 'computer'}]",What do you use when chatting with friends that aren't in the same place together?,having friends,printer,phone,smoke,computer,2
A,1adf02f40e10491a6e0ae9f870cac1cf,"[{'label': 'A', 'text': 'bad mood'}, {'label': 'B', 'text': 'pair of trousers'}, {'label': 'C', 'text': 'classroom'}, {'label': 'D', 'text': 'confusion'}, {'label': 'E', 'text': 'outdoors'}]",A ferret would probably growl if it is in what kind of state?,bad mood,pair of trousers,classroom,confusion,outdoors,0
A,f75bb741497541837b92c4c2a113f5a4,"[{'label': 'A', 'text': 'feel good'}, {'label': 'B', 'text': 'cloud judgment'}, {'label': 'C', 'text': 'wonderful thing'}, {'label': 'D', 'text': 'making love'}, {'label': 'E', 'text': 'happyness'}]",What does sex often make happen in people?,feel good,cloud judgment,wonderful thing,making love,happyness,0
A,906d856bf7e85bbb59f3d3e1fa4dbb4f,"[{'label': 'A', 'text': 'south'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'virginias'}, {'label': 'D', 'text': 'minnesota'}, {'label': 'E', 'text': 'north'}]",What part of us is virginia in?,south,united states,virginias,minnesota,north,0
B,3117b6b6df2744ed619676343c371a3e,"[{'label': 'A', 'text': 'casino'}, {'label': 'B', 'text': 'race track'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'enjoy horse races'}, {'label': 'E', 'text': 'bar'}]",Where can you find gamblers who watch four legged animals?,casino,race track,building,enjoy horse races,bar,1
A,2b53a21599a5e4d20f281e8b19ddfb8b,"[{'label': 'A', 'text': 'increased workload'}, {'label': 'B', 'text': 'hunger'}, {'label': 'C', 'text': 'being employed'}, {'label': 'D', 'text': 'rejection'}, {'label': 'E', 'text': 'anxiety and fear'}]",How does applying for job while working impact someone?,increased workload,hunger,being employed,rejection,anxiety and fear,0
A,dde6b3015404c2c5a5814f20b51662cd,"[{'label': 'A', 'text': 'play chess'}, {'label': 'B', 'text': 'play games'}, {'label': 'C', 'text': 'read'}, {'label': 'D', 'text': 'watch film'}, {'label': 'E', 'text': 'play cards'}]",How might one conquer boredom by controlling the destiny of imaginary kingdoms?,play chess,play games,read,watch film,play cards,0
D,e399e99ab5407f318ccca0c9c63c65cf,"[{'label': 'A', 'text': 'break easily'}, {'label': 'B', 'text': 'many different colors'}, {'label': 'C', 'text': 'hold my doughnuts'}, {'label': 'D', 'text': 'hold water'}, {'label': 'E', 'text': 'shattering'}]",What does a round glass do?,break easily,many different colors,hold my doughnuts,hold water,shattering,3
A,46051f7f9532d53f3333ca8421b08f39,"[{'label': 'A', 'text': 'beauty'}, {'label': 'B', 'text': 'injury'}, {'label': 'C', 'text': 'outfit'}, {'label': 'D', 'text': 'satisfaction'}, {'label': 'E', 'text': 'late'}]",A person who is constantly grooming is try to preserve their what?,beauty,injury,outfit,satisfaction,late,0
D,f109987290db4319f7826dfc939b1058,"[{'label': 'A', 'text': 'four legs'}, {'label': 'B', 'text': 'two eyes'}, {'label': 'C', 'text': 'two ears'}, {'label': 'D', 'text': 'teeth'}, {'label': 'E', 'text': 'one mouth'}]","The dog really liked the treats, which was good since they were for the health of his what?",four legs,two eyes,two ears,teeth,one mouth,3
D,d4ca1f13ccd70d69551e000319d2c06b,"[{'label': 'A', 'text': 'view video'}, {'label': 'B', 'text': 'tickle'}, {'label': 'C', 'text': 'jump rope'}, {'label': 'D', 'text': 'see exhibits'}, {'label': 'E', 'text': 'to school'}]","The class of children walked around the place in a line, their guide took them to what?",view video,tickle,jump rope,see exhibits,to school,3
A,a81cfbfcd32be2b77a8b2e1c84cac04f,"[{'label': 'A', 'text': 'basketball court'}, {'label': 'B', 'text': 'purse'}, {'label': 'C', 'text': 'pocket'}, {'label': 'D', 'text': 'florida'}, {'label': 'E', 'text': 'action'}]","The big man was all size and no talent, but the coach taught him to defend the key and make it his home on the what?",basketball court,purse,pocket,florida,action,0
E,70e80e3868e7bbcd2e54756da5b59a09,"[{'label': 'A', 'text': 'swimming'}, {'label': 'B', 'text': 'calculate things quickly'}, {'label': 'C', 'text': 'run'}, {'label': 'D', 'text': 'fight enemy'}, {'label': 'E', 'text': 'urinate'}]",Why would someone be wet after being full of fear?,swimming,calculate things quickly,run,fight enemy,urinate,4
A,e4e720e11cb9134136ba3342f5fe403c,"[{'label': 'A', 'text': 'eye strain'}, {'label': 'B', 'text': 'carpal tunnel syndrome'}, {'label': 'C', 'text': 'increased efficiency'}, {'label': 'D', 'text': 'stress'}, {'label': 'E', 'text': 'happy'}]",What could using computer not cause if you are blind?,eye strain,carpal tunnel syndrome,increased efficiency,stress,happy,0
C,9fd4737d024fb0d6a9f047bed295bddb,"[{'label': 'A', 'text': 'grocery store'}, {'label': 'B', 'text': 'pantry'}, {'label': 'C', 'text': 'refrigerator'}, {'label': 'D', 'text': 'pantry'}, {'label': 'E', 'text': 'kitchen cupboard'}]","If I had a jar which was likely to spoil if left out, where would I want to put it?",grocery store,pantry,refrigerator,pantry,kitchen cupboard,2
E,1bc1d62d86009c1107b9f74fe405bda4_1,"[{'label': 'A', 'text': 'broken spirit'}, {'label': 'B', 'text': 'healthy body'}, {'label': 'C', 'text': 'broken legs'}, {'label': 'D', 'text': 'cold nose'}, {'label': 'E', 'text': 'broken bones'}]","He was scared of skiing after the accident, what did he want to avoid in general?",broken spirit,healthy body,broken legs,cold nose,broken bones,4
C,6aa6caa33c91e2a08bc2e18a1d4da225,"[{'label': 'A', 'text': 'bladders'}, {'label': 'B', 'text': 'names'}, {'label': 'C', 'text': 'feelings'}, {'label': 'D', 'text': 'naval'}, {'label': 'E', 'text': 'words'}]","The hippy wanted peace with all humans, he had strong what for them all?",bladders,names,feelings,naval,words,2
A,89dcfb0adda2afd29dffea96f0a97ec9,"[{'label': 'A', 'text': 'using gas'}, {'label': 'B', 'text': 'deaths'}, {'label': 'C', 'text': 'traffic jams'}, {'label': 'D', 'text': 'break down'}, {'label': 'E', 'text': 'may die'}]","Bill likes driving, but it's expensive.  He wished that cars didn't do what?",using gas,deaths,traffic jams,break down,may die,0
E,14bb42602f6b7dd115c5fb8079ce13df,"[{'label': 'A', 'text': 'desktop'}, {'label': 'B', 'text': 'potato'}, {'label': 'C', 'text': 'library'}, {'label': 'D', 'text': 'most buildings'}, {'label': 'E', 'text': 'surface of earth'}]","Unlike Mars and all its dust, what is full of all sorts of features from soil and rock to water and grass?",desktop,potato,library,most buildings,surface of earth,4
C,d9d23c4557eaf3d985aea51508d2ae11,"[{'label': 'A', 'text': 'four legs'}, {'label': 'B', 'text': 'sleep'}, {'label': 'C', 'text': 'eat meat'}, {'label': 'D', 'text': 'rubbish'}, {'label': 'E', 'text': 'drink water'}]",Dogs are omnivores which mean they consume plants and what?,four legs,sleep,eat meat,rubbish,drink water,2
B,0bfa6a451308d4426c23eea1ad1d4394,"[{'label': 'A', 'text': 'library'}, {'label': 'B', 'text': 'jail'}, {'label': 'C', 'text': 'porch'}, {'label': 'D', 'text': 'school'}, {'label': 'E', 'text': 'rug'}]",Where would you be unable to read a newspaper?,library,jail,porch,school,rug,1
D,89e19e81071205db271231a17ad86cc1,"[{'label': 'A', 'text': 'wash dishes'}, {'label': 'B', 'text': 'read book'}, {'label': 'C', 'text': 'enter school'}, {'label': 'D', 'text': 'drop out of school'}, {'label': 'E', 'text': 'do the laundry'}]",What might a student do if they really hate school and they'd rather get a job?,wash dishes,read book,enter school,drop out of school,do the laundry,3
B,cbd0ada3a59f5ca4f76670228796cbc7,"[{'label': 'A', 'text': 'plebian'}, {'label': 'B', 'text': 'province'}, {'label': 'C', 'text': 'construction business'}, {'label': 'D', 'text': 'workplace'}, {'label': 'E', 'text': 'detroit'}]",The country didn't want to join the union. They felt that doing so would reduce them to the status of a what?,plebian,province,construction business,workplace,detroit,1
C,a4657fc47c8dbe999297f148cf3b7af0,"[{'label': 'A', 'text': 'frustration'}, {'label': 'B', 'text': 'over time'}, {'label': 'C', 'text': 'working hard'}, {'label': 'D', 'text': 'employment'}, {'label': 'E', 'text': 'stress'}]","He was applying for a job, what did he promise to do when he spoke with the manager?",frustration,over time,working hard,employment,stress,2
B,018873ed27a2a692fe55a4f6ed6b9a6e,"[{'label': 'A', 'text': 'mexican peso'}, {'label': 'B', 'text': 'austral'}, {'label': 'C', 'text': 'cordoba'}, {'label': 'D', 'text': 'indian'}, {'label': 'E', 'text': 'colon'}]",In what region is a centavo uses?,mexican peso,austral,cordoba,indian,colon,1
D,e7457fa7c80252d315a0d432791d9296,"[{'label': 'A', 'text': 'put on his head'}, {'label': 'B', 'text': 'noise'}, {'label': 'C', 'text': 'picks up'}, {'label': 'D', 'text': 'put down'}, {'label': 'E', 'text': 'water mark'}]",Joe began setting the cup on the table after Bill asked him to do what to it?,put on his head,noise,picks up,put down,water mark,3
D,6a4be6adac0b8e247851f2671e2e11ac,"[{'label': 'A', 'text': 'sporting event'}, {'label': 'B', 'text': 'hockey game'}, {'label': 'C', 'text': 'croquet'}, {'label': 'D', 'text': 'bowling alley'}, {'label': 'E', 'text': 'fridge'}]",Where would you enjoy a beer while throwing heavy spheres toward ten white objects?,sporting event,hockey game,croquet,bowling alley,fridge,3
E,732f3bad358e713fbbe6a23a242f71ad,"[{'label': 'A', 'text': 'shelf'}, {'label': 'B', 'text': 'newspaper'}, {'label': 'C', 'text': 'bathroom'}, {'label': 'D', 'text': 'art show'}, {'label': 'E', 'text': 'desktop'}]","When you want to see a picture frequently, where might you put it on your computer?",shelf,newspaper,bathroom,art show,desktop,4
D,9ad10c2414f53d53c9a1e78a1508c806,"[{'label': 'A', 'text': 'london'}, {'label': 'B', 'text': 'england'}, {'label': 'C', 'text': 'ireland'}, {'label': 'D', 'text': 'great britain'}, {'label': 'E', 'text': 'bahrain'}]",What kingdom is frequently associated with pubs?,london,england,ireland,great britain,bahrain,3
A,78cd40e8133d2426ec3089191f36ab8c,"[{'label': 'A', 'text': 'northern hemisphere'}, {'label': 'B', 'text': 'towards ocean'}, {'label': 'C', 'text': 'history book'}, {'label': 'D', 'text': 'atlas'}, {'label': 'E', 'text': 'map'}]","The astronaut wanted to find the United States from outer space, so where did he aim his spacecraft?",northern hemisphere,towards ocean,history book,atlas,map,0
A,cda49bc395edb5f3eb89fc8a8ad35df6,"[{'label': 'A', 'text': 'office building'}, {'label': 'B', 'text': 'shopping center'}, {'label': 'C', 'text': 'strip mall'}, {'label': 'D', 'text': 'new york city'}, {'label': 'E', 'text': 'town'}]",Sam didn't have to walk far to get lunch.  There was a deli on the ground floor of his what?,office building,shopping center,strip mall,new york city,town,0
B,9d25932e636f2fd43cdc06479104fe11,"[{'label': 'A', 'text': 'stupidity'}, {'label': 'B', 'text': 'much work'}, {'label': 'C', 'text': 'overwhelmed'}, {'label': 'D', 'text': 'dropping out'}, {'label': 'E', 'text': 'detention'}]",Why might some graduates choose not to be attending school later in life?,stupidity,much work,overwhelmed,dropping out,detention,1
D,fa2659dadb5f427b3a246776986df0de,"[{'label': 'A', 'text': 'africa'}, {'label': 'B', 'text': 'the mountains'}, {'label': 'C', 'text': 'south american country'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'ohio'}]","If I lived in a small village outside a city, which general geographic area would this be?",africa,the mountains,south american country,countryside,ohio,3
D,51cd47fcb3c5ef954f11654d29235146,"[{'label': 'A', 'text': 'home'}, {'label': 'B', 'text': 'sun'}, {'label': 'C', 'text': 'bedroom'}, {'label': 'D', 'text': 'fire'}, {'label': 'E', 'text': 'house'}]",What is likely to be a heat source in a log cabin?,home,sun,bedroom,fire,house,3
D,fa01c3b02ef685da10246088861f8e1b,"[{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'video game'}, {'label': 'C', 'text': ""carpenter's shop""}, {'label': 'D', 'text': 'garage'}, {'label': 'E', 'text': 'total number'}]",What is likely to have more than one level in a city?,building,video game,carpenter's shop,garage,total number,3
C,297cde06d25ce3cf67c94c3a184c2694,"[{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'teaspoon'}, {'label': 'C', 'text': 'cruet'}, {'label': 'D', 'text': 'table setting'}, {'label': 'E', 'text': 'kitchen cupboard'}]",A saltshaker is often used with what container for lipids?,cabinet,teaspoon,cruet,table setting,kitchen cupboard,2
A,58ec886d01ad2cdf8d68f26ef3c23b66,"[{'label': 'A', 'text': 'car'}, {'label': 'B', 'text': 'drawer'}, {'label': 'C', 'text': 'street'}, {'label': 'D', 'text': 'bag'}, {'label': 'E', 'text': 'shirt pocket'}]",Where is a good place to keep an eyeglasses case in traffic?,car,drawer,street,bag,shirt pocket,0
A,b55968c939b0a6ad5d356398adb66f94,"[{'label': 'A', 'text': 'better job'}, {'label': 'B', 'text': 'save money'}, {'label': 'C', 'text': 'win lottery'}, {'label': 'D', 'text': 'own house'}, {'label': 'E', 'text': 'feel safe'}]",A person who wants to make more at their job but can't will often need to find a what?,better job,save money,win lottery,own house,feel safe,0
C,5bba3970fbd9dda3128f582ef135d964,"[{'label': 'A', 'text': 'fall asleep'}, {'label': 'B', 'text': 'check email'}, {'label': 'C', 'text': 'entertainment'}, {'label': 'D', 'text': 'turning off'}, {'label': 'E', 'text': 'getting tired'}]",Why would you be using television?,fall asleep,check email,entertainment,turning off,getting tired,2
D,1cec2d4bff572da5c02e68c6bfb38fda,"[{'label': 'A', 'text': 'prison'}, {'label': 'B', 'text': 'classroom'}, {'label': 'C', 'text': 'labyrinth'}, {'label': 'D', 'text': 'art show'}, {'label': 'E', 'text': 'house or other building'}]",Where would works be on the wall?,prison,classroom,labyrinth,art show,house or other building,3
