answerKey,id,choices,stem,choice_0,choice_1,choice_2,label
C,42e18930f7013dc41a3c6d6bc17be9ac,"[{'label': 'A', 'text': 'human face'}, {'label': 'B', 'text': 'faces'}, {'label': 'C', 'text': 'motion'}]",John saw a pair of disembodied lips floating towards him.  He was hypnotized by their what?,human face,faces,motion,2
C,6326fa333a82e76214d94c813befe727,"[{'label': 'A', 'text': 'sleep'}, {'label': 'B', 'text': 'have rest'}, {'label': 'C', 'text': 'sit down'}]",If your legs are experiencing fatigue what can you do?,sleep,have rest,sit down,2
C,c124bde6c01184d23b92542eea705269,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'windows'}, {'label': 'C', 'text': 'paint store'}]","The couple decided the new shades didn't match the old wall color, where did they go next?",house,windows,paint store,2
A,369c5574be5513cd1011e29010621610,"[{'label': 'A', 'text': 'south dakota'}, {'label': 'B', 'text': 'scotland'}, {'label': 'C', 'text': 'washington'}]","If you were in a aberdeen and had just left a tourist spot of four faces carved in a mountain, you'd probably be where?",south dakota,scotland,washington,0
C,bc38ad28e99cff7a65771233f734a007,"[{'label': 'A', 'text': 'wet clothes'}, {'label': 'B', 'text': 'wear out'}, {'label': 'C', 'text': 'torn'}]",While washing clothes they became what when caught on the sharp object?,wet clothes,wear out,torn,2
B,42db8ffdbb3f116ad9f4f0cb791dfc3a,"[{'label': 'A', 'text': 'prepare meals'}, {'label': 'B', 'text': 'season with salt'}, {'label': 'C', 'text': 'better food'}]",What would cooks do when they are almost finished cooking?,prepare meals,season with salt,better food,1
B,5198f1ac4f753ed3e0acbe45c93fa48f,"[{'label': 'A', 'text': 'making sound'}, {'label': 'B', 'text': 'people to listen'}, {'label': 'C', 'text': 'attempting to communicate'}]",What are you hoping will happen when talking?,making sound,people to listen,attempting to communicate,1
C,171b800beb3759e93e1e49762d005fe6,"[{'label': 'A', 'text': 'larger family'}, {'label': 'B', 'text': 'fun'}, {'label': 'C', 'text': 'birth'}]","When the farmer was reproducing sheep, what did one sheep give later?",larger family,fun,birth,2
A,93e65088187a50c158ec42e6ebce4ade,"[{'label': 'A', 'text': 'answers'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'communication'}]",Sam  spent time chatting with friends about important things because he wanted to get what?,answers,happiness,communication,0
A,8092da807cd0bba511a524d3289bbda7,"[{'label': 'A', 'text': 'perspiration'}, {'label': 'B', 'text': 'reproducing'}, {'label': 'C', 'text': 'palpitations'}]","Living in a humid climate can be uncomfortable, it leads to a lot of what?",perspiration,reproducing,palpitations,0
B,f3c6e4a973d99fe84239c630c4c698a3,"[{'label': 'A', 'text': 'nest'}, {'label': 'B', 'text': 'water fountain'}, {'label': 'C', 'text': 'birdhouse'}]",Where can birds clean themselves?,nest,water fountain,birdhouse,1
C,09e126345fc24a6958306d7de7b27244,"[{'label': 'A', 'text': 'get frustrated'}, {'label': 'B', 'text': 'compile'}, {'label': 'C', 'text': 'write code'}]",What does a human need to do before a program will exist?,get frustrated,compile,write code,2
A,31fef658ebb0cbadf3a4d93271169fab,"[{'label': 'A', 'text': 'dental office'}, {'label': 'B', 'text': 'las vegas'}, {'label': 'C', 'text': 'phone book'}]",Where do you visit a dentist?,dental office,las vegas,phone book,0
C,e34a0d1331c6bd4574ffe308e3fbd389,"[{'label': 'A', 'text': 'learn to swim'}, {'label': 'B', 'text': 'feel relieved'}, {'label': 'C', 'text': 'act responsibly'}]","When a person admits his mistakes, what are they doing?",learn to swim,feel relieved,act responsibly,2
A,b76eeba042f79436954aa4d2eb7768ca,"[{'label': 'A', 'text': 'railway station'}, {'label': 'B', 'text': 'flight of stairs'}, {'label': 'C', 'text': 'porch'}]",Where do you go when you're about to board a vehicle on railing?,railway station,flight of stairs,porch,0
B,ec8797b12e3c6666ebe70b2a7680b66f,"[{'label': 'A', 'text': 'looking for information'}, {'label': 'B', 'text': 'drink beer'}, {'label': 'C', 'text': 'sit quietly'}]","Many humans enjoy fishing and enjoy another relaxing activity at the same time, what activity is it?",looking for information,drink beer,sit quietly,1
B,0238c8d1a00b6b112f91296ddab57c13,"[{'label': 'A', 'text': 'government'}, {'label': 'B', 'text': 'country'}, {'label': 'C', 'text': 'white house'}]",The president is the highest office where?,government,country,white house,1
C,ea4efe6071b6f40065b118a726977aba,"[{'label': 'A', 'text': 'venue'}, {'label': 'B', 'text': 'movie theater'}, {'label': 'C', 'text': 'clerk'}]",Who do you give money to at a ticket booth?,venue,movie theater,clerk,2
B,b93532cae23e505628dd88568da3337e,"[{'label': 'A', 'text': 'pantry'}, {'label': 'B', 'text': 'shelf'}, {'label': 'C', 'text': 'apartment'}]",Where can you store your dishes in your dwelling?,pantry,shelf,apartment,1
B,a128d5b71ff7e8f3153381403cf9b01f,"[{'label': 'A', 'text': 'book'}, {'label': 'B', 'text': 'encyclopedia'}, {'label': 'C', 'text': 'head'}]",What is considered to be an outdated way to gain knowledge?,book,encyclopedia,head,1
A,eddf00f529e19dfa1e5f7a6bd326596d,"[{'label': 'A', 'text': 'loss of innocence'}, {'label': 'B', 'text': 'pleasure'}, {'label': 'C', 'text': 'anger'}]",What is learning about the world and how it works likely to cause?,loss of innocence,pleasure,anger,0
B,4df359d4fdc55f3c7b9f26975f2a932b,"[{'label': 'A', 'text': 'invisible'}, {'label': 'B', 'text': 'misunderstood'}, {'label': 'C', 'text': 'confusing'}]","The picture was clear,. Obviously, there had been a what?",invisible,misunderstood,confusing,1
B,c1a59ec700d373b632e4daa284021b0b,"[{'label': 'A', 'text': 'nose'}, {'label': 'B', 'text': 'hand'}, {'label': 'C', 'text': 'glove'}]",Where can someone find many a finger?,nose,hand,glove,1
C,efa4cb105ae2152a75faa0f999b72fbf,"[{'label': 'A', 'text': 'vein'}, {'label': 'B', 'text': 'person'}, {'label': 'C', 'text': 'hospital'}]",Where must you go for a blood transfusion?,vein,person,hospital,2
A,9fd5e5c223507b45fe50ac13538d9fdc,"[{'label': 'A', 'text': 'faithful'}, {'label': 'B', 'text': 'veracious'}, {'label': 'C', 'text': 'TRUE'}]","She knew his story was untrue, she just hoped he had remained what?",faithful,veracious,TRUE,0
A,7b8624add8c1face424782586cb4eee9,"[{'label': 'A', 'text': 'wakefulness'}, {'label': 'B', 'text': 'stay awake'}, {'label': 'C', 'text': 'being awake'}]","Sam tried to go to sleep, but he couldn't.  He suffered from what?",wakefulness,stay awake,being awake,0
C,34dc2fdaa3a87c400e40b7af82b4dc4b,"[{'label': 'A', 'text': 'above board'}, {'label': 'B', 'text': 'dull'}, {'label': 'C', 'text': 'unobservant'}]",What would someone be if he or she did not see a sharp object falling in front of him or her?,above board,dull,unobservant,2
A,480906022f4ec20f6aa4366a63fac997,"[{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'bedroom'}]",Where is a blanket useful to cover a horse?,michigan,hospital,bedroom,0
A,93a9ca308b01e1b4a3c3984fa56bf4e2,"[{'label': 'A', 'text': 'favourite'}, {'label': 'B', 'text': 'safe bet'}, {'label': 'C', 'text': 'sure bet'}]","Though he believed in the underdog the odds were not good enough, he instead pointed his money towards the what?",favourite,safe bet,sure bet,0
A,235094c966bcbdc94701b41b969f9c75,"[{'label': 'A', 'text': 'transfer of information'}, {'label': 'B', 'text': 'confusion'}, {'label': 'C', 'text': 'misunderstandings'}]",when communicating with my boss what should i do,transfer of information,confusion,misunderstandings,0
B,ba3940f733a1c3211c87c29470593c0d,"[{'label': 'A', 'text': 'quarry'}, {'label': 'B', 'text': 'montana'}, {'label': 'C', 'text': 'work area'}]",Where is gruber exacavation from?,quarry,montana,work area,1
C,8935e082feb0e0f009f90cff9d2dbd88,"[{'label': 'A', 'text': 'entertained'}, {'label': 'B', 'text': 'visual'}, {'label': 'C', 'text': 'eye strain'}]","The children had been using television all Saturday morning, their parents made them go outside and play before they all suffered what?",entertained,visual,eye strain,2
A,7708588b79ab24c24924c149ffeda636,"[{'label': 'A', 'text': 'baseball stadium'}, {'label': 'B', 'text': 'soccer game'}, {'label': 'C', 'text': 'football stadium'}]",The child pounded his mitt in excitement while enjoying his first game in the bleachers where?,baseball stadium,soccer game,football stadium,0
A,4a0f6e645b5005990bdc4bfbaa4fc420,"[{'label': 'A', 'text': 'mix'}, {'label': 'B', 'text': 'with people'}, {'label': 'C', 'text': 'see people'}]","I want to make new friends when I socialize at the party, what should I do?",mix,with people,see people,0
C,009a7aabffe0583fc2df46656b29c326,"[{'label': 'A', 'text': 'real estate'}, {'label': 'B', 'text': 'treasure chest'}, {'label': 'C', 'text': 'stock market'}]","He came from old money and had a fortune, but he made new money making shrewd trades where?",real estate,treasure chest,stock market,2
A,1231d817683850974093920eb125ae6a,"[{'label': 'A', 'text': 'get fired'}, {'label': 'B', 'text': 'sell products'}, {'label': 'C', 'text': 'service account'}]",What would happen if a salesman didn't do his job right?,get fired,sell products,service account,0
A,fbeb571abe2230a4a7eb04a32f445dc7,"[{'label': 'A', 'text': 'ashtray'}, {'label': 'B', 'text': 'slot machine'}, {'label': 'C', 'text': 'coin collection'}]","The token was tossed aside carelessly, where did it end up?",ashtray,slot machine,coin collection,0
A,4f1d8007b446b0e10f07fd63cbd31b6f,"[{'label': 'A', 'text': 'heat'}, {'label': 'B', 'text': 'life on earth'}, {'label': 'C', 'text': 'light'}]","John knew that the sun produced a massive amount of energy in two forms.  If you were on the surface of the sun, what would kill you first?",heat,life on earth,light,0
A,424ccc1273d06f1f8008affe57910e38,"[{'label': 'A', 'text': 'army corps'}, {'label': 'B', 'text': 'american army'}, {'label': 'C', 'text': 'brass band'}]",What are you a part of if you hear a bugle in the mornings?,army corps,american army,brass band,0
C,9340a5cb2a09cbb333baaf880c44336f,"[{'label': 'A', 'text': 'networked'}, {'label': 'B', 'text': 'crash'}, {'label': 'C', 'text': 'help people'}]",John was an idealist.  He gave away internet ready computers because he wanted to do what?,networked,crash,help people,2
B,c551718f4f0742d6c19b6d7e2d8fccde,"[{'label': 'A', 'text': 'stroked'}, {'label': 'B', 'text': 'milk to drink'}, {'label': 'C', 'text': 'nothing to do with'}]",What would a cat want if it has not seen any bowls recently?,stroked,milk to drink,nothing to do with,1
C,ea82f9e938cbfce85fb498ce46264253,"[{'label': 'A', 'text': 'draw attention to themselves'}, {'label': 'B', 'text': 'come home'}, {'label': 'C', 'text': 'make money'}]",What will a person do at work?,draw attention to themselves,come home,make money,2
A,b4130d1790948134f3aeab9d3d79c181,"[{'label': 'A', 'text': 'study'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'den'}]",What room would you find many bookcases and is used for contemplation?,study,house,den,0
A,d84ec585c07940021689e8abf1ccab27,"[{'label': 'A', 'text': 'memory loss'}, {'label': 'B', 'text': 'peacefulness'}, {'label': 'C', 'text': 'sleepwalking'}]",What is someone likely to have after going into a trance?,memory loss,peacefulness,sleepwalking,0
A,330cf977078505f74ae761abd09c772c,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'books'}, {'label': 'C', 'text': 'sky'}]",Where could you find an artificial light source?,house,books,sky,0
B,4c1fbbaf92d4b2476051d7765bba61d3,"[{'label': 'A', 'text': 'refrigerator'}, {'label': 'B', 'text': 'gym'}, {'label': 'C', 'text': 'fridge'}]",Where can you get in shape and drink at a juice bar?,refrigerator,gym,fridge,1
A,723a666caa684c41e8c01f69646aa3b0,"[{'label': 'A', 'text': 'profane'}, {'label': 'B', 'text': 'contemn'}, {'label': 'C', 'text': 'condemned'}]",What kind of thing might be offensive to say to someone who has blessed you?,profane,contemn,condemned,0
C,2874d0b073dbf44cdc7588bea7f4c0a6,"[{'label': 'A', 'text': 'notebook'}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'office'}]",Where is a ring binder likely to contain budgets?,notebook,school,office,2
A,08dc46bc31cf7bc6130ad428b8cb4461,"[{'label': 'A', 'text': 'think'}, {'label': 'B', 'text': 'fall asleep'}, {'label': 'C', 'text': 'reading'}]",What could someone be doing if he or she is sitting quietly with his or her eyes open and nothing is in front of him or her?,think,fall asleep,reading,0
A,4a9e633bef6712db928c1c01506d3070,"[{'label': 'A', 'text': 'show'}, {'label': 'B', 'text': 'dinner'}, {'label': 'C', 'text': 'refrigerator'}]",Where might someone have a drink and watch comedy?,show,dinner,refrigerator,0
C,3cf60dae993592ae4d8498dc61749b45,"[{'label': 'A', 'text': 'being heard'}, {'label': 'B', 'text': 'change in mood'}, {'label': 'C', 'text': 'hoarse voice'}]","John was good at singing, usually.  But today he couldn't do it.  Why can't John sing?",being heard,change in mood,hoarse voice,2
A,d6644eacdb543a60545d2eb1ac7e6dbd,"[{'label': 'A', 'text': 'bible'}, {'label': 'B', 'text': 'spain'}, {'label': 'C', 'text': 'woods'}]",According to what book did an apple tree lead to the downfall of man?,bible,spain,woods,0
B,9ec29f101f97d7d24b562e3af4df4c1b,"[{'label': 'A', 'text': 'jazz band'}, {'label': 'B', 'text': 'marching band'}, {'label': 'C', 'text': 'brass band'}]",Where would someone have to carry their brass instrument while they played?,jazz band,marching band,brass band,1
B,b8a43f3359fdfdb78471a6a1be79fc16,"[{'label': 'A', 'text': 'go into debt'}, {'label': 'B', 'text': 'value life'}, {'label': 'C', 'text': 'experience pleasure'}]","I as a person don't kill others, why do I not?",go into debt,value life,experience pleasure,1
C,a5f084dcbeada1f17009410069720195,"[{'label': 'A', 'text': 'business meeting'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'chair'}]",Where is a good place to set an attache case other than a desk?,business meeting,hospital,chair,2
C,7ecff79109f499a28c77af4014e513e2,"[{'label': 'A', 'text': 'america'}, {'label': 'B', 'text': 'new york'}, {'label': 'C', 'text': 'big cities'}]","There was a fast food restaurant every 200 feet to help handle the foot traffic, what is this characteristic of in general?",america,new york,big cities,2
A,a6ae68f0eda547032a30e63fbee3fefa,"[{'label': 'A', 'text': 'smell smoke'}, {'label': 'B', 'text': 'bank savings'}, {'label': 'C', 'text': 'look angry'}]","The person turned the oven on and put a pizza in, what happened one hour later?",smell smoke,bank savings,look angry,0
B,c158a0f0bd7cbd283d6eae94f15b5c19,"[{'label': 'A', 'text': 'sparse'}, {'label': 'B', 'text': 'free flowing'}, {'label': 'C', 'text': 'slender'}]",Thick molasses isn't what?,sparse,free flowing,slender,1
C,b7f388b514e9783249e288a742b675e5,"[{'label': 'A', 'text': 'pantry'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'kitchens'}]",Where are you likely to find a tupperware container?,pantry,refrigerator,kitchens,2
C,83b8643fd4ce012d7ee712ec47b8a40a,"[{'label': 'A', 'text': 'compost pile'}, {'label': 'B', 'text': 'trees'}, {'label': 'C', 'text': 'forrest'}]",Billy was searching for leaves to add to his collection.  Where might he have looked for them?,compost pile,trees,forrest,2
A,b42222e0233cb78e0df4dcaa433c57b3,"[{'label': 'A', 'text': 'good feeling'}, {'label': 'B', 'text': 'having friends'}, {'label': 'C', 'text': 'conflict'}]",John and James loved making friends.  It gave them what?,good feeling,having friends,conflict,0
B,dcc47ca49dba2d92ccbf81cc58fc0b8a,"[{'label': 'A', 'text': 'sharp claws'}, {'label': 'B', 'text': 'whiskers'}, {'label': 'C', 'text': 'four legs'}]",What is likely long on a cat?,sharp claws,whiskers,four legs,1
B,389c326ddbdd16543894fa8556e5fbde,"[{'label': 'A', 'text': 'blackouts'}, {'label': 'B', 'text': 'get pregnant'}, {'label': 'C', 'text': 'bad breath'}]",What can happen after drinking alcohol that takes a long time to finish?,blackouts,get pregnant,bad breath,1
A,f23078c510031844d854083526641be9,"[{'label': 'A', 'text': 'ship'}, {'label': 'B', 'text': 'winch'}, {'label': 'C', 'text': 'factory'}]",What is a steel cable called a wire rope primarily used for?,ship,winch,factory,0
B,b3345fdcafe4ffb8890c2c1cceda4ece,"[{'label': 'A', 'text': 'irregular'}, {'label': 'B', 'text': 'extraordinary'}, {'label': 'C', 'text': 'unusual'}]","He had never seen a common snow before, the locals were used to it but for him it was fun and what?",irregular,extraordinary,unusual,1
C,b72b3a51d28bc6585464ce6088001029,"[{'label': 'A', 'text': 'golf course'}, {'label': 'B', 'text': 'nursing home'}, {'label': 'C', 'text': 'medical school'}]",Where would a doctor train before gaining a practice?,golf course,nursing home,medical school,2
C,20a3bb788cf408d9a3e25e610fe60905,"[{'label': 'A', 'text': 'south pacific'}, {'label': 'B', 'text': 'atlantic ocean'}, {'label': 'C', 'text': 'sea water'}]",In what kind of environment does an anemone live?,south pacific,atlantic ocean,sea water,2
A,3f3866883691430bb3ee586683320415,"[{'label': 'A', 'text': 'cool off'}, {'label': 'B', 'text': 'could'}, {'label': 'C', 'text': 'shrinking'}]",What might someone be trying to achieve by getting wet?,cool off,could,shrinking,0
B,fb8c39e39a6d419b824ad4cd80ae3380,"[{'label': 'A', 'text': 'dictionary'}, {'label': 'B', 'text': 'latin america'}, {'label': 'C', 'text': 'underground'}]",Where are there millions of marmoset sitting in trees?,dictionary,latin america,underground,1
C,c2d67f7fc8ee1847db4b7ee804a55209,"[{'label': 'A', 'text': 'safe deposit box'}, {'label': 'B', 'text': 'department store'}, {'label': 'C', 'text': 'suitcase'}]",What is not a safe way to transport jewelry on vacation?,safe deposit box,department store,suitcase,2
B,353bf00e1541b4ab68982c654bbd4072_1,"[{'label': 'A', 'text': 'petri dish'}, {'label': 'B', 'text': 'water'}, {'label': 'C', 'text': 'ground'}]","There was a bacteria scare, so bleach was added to the well what?",petri dish,water,ground,1
A,9ef5032332a07fc810e389012f0ff376,"[{'label': 'A', 'text': 'texas'}, {'label': 'B', 'text': 'street'}, {'label': 'C', 'text': 'countryside'}]",Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,texas,street,countryside,0
C,0d59846f5eba84d6bdedb5d087449246,"[{'label': 'A', 'text': 'boredom'}, {'label': 'B', 'text': 'agitation'}, {'label': 'C', 'text': 'fainting'}]","If you lock your knees while standing in line, what may you experience?",boredom,agitation,fainting,2
C,8df00a2aa931226a696056b83070ad6f,"[{'label': 'A', 'text': 'suitcase'}, {'label': 'B', 'text': 'backpack'}, {'label': 'C', 'text': 'sporting goods store'}]",Where can you buy binoculars?,suitcase,backpack,sporting goods store,2
A,1342c6aec9f5179d6ea6fa5fefbe5188,"[{'label': 'A', 'text': 'colds and flu'}, {'label': 'B', 'text': 'get smart'}, {'label': 'C', 'text': 'taking tests'}]",One of the potential hazards of attending school is what?,colds and flu,get smart,taking tests,0
B,dace6f8ae50c50fe5f5cdf25b4695d05,"[{'label': 'A', 'text': 'naked'}, {'label': 'B', 'text': 'orgasm'}, {'label': 'C', 'text': 'cum'}]","Sam liked procreating.   He didn't care about the children, but he loved a specific part of it.  What did he enjoy?",naked,orgasm,cum,1
A,a56f10f47c0869d4d6a520866cf80121,"[{'label': 'A', 'text': 'sum'}, {'label': 'B', 'text': 'sameness'}, {'label': 'C', 'text': 'similarity'}]",What will all the differences equal?,sum,sameness,similarity,0
C,70dc3efcfe798e8d5727b022a075af65,"[{'label': 'A', 'text': 'taste sweet'}, {'label': 'B', 'text': 'keep fresh'}, {'label': 'C', 'text': 'go off'}]","The argument was becoming more heated, but when somebody threw fruit at another is when things really started to what?",taste sweet,keep fresh,go off,2
B,bb503ece4eac41dfe608a1dcb654e6bf,"[{'label': 'A', 'text': 'imprisoned'}, {'label': 'B', 'text': 'paid for'}, {'label': 'C', 'text': 'expensive'}]","If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?",imprisoned,paid for,expensive,1
B,935935e9a4752105e71635315764164a,"[{'label': 'A', 'text': 'boredom'}, {'label': 'B', 'text': 'scrutinizing'}, {'label': 'C', 'text': 'exasperation'}]",What should a savvy consumer do when being presented with proof for the effectiveness of a product that seem too good to be true?,boredom,scrutinizing,exasperation,1
B,01fd46d66fa1748c015cc496779e168e,"[{'label': 'A', 'text': ""cousin's house""}, {'label': 'B', 'text': 'wood pile'}, {'label': 'C', 'text': 'taxi cab'}]",Where can a ferret hide easily?,cousin's house,wood pile,taxi cab,1
A,ceb5a5591ba48b83349ac68dce04fd3b,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'windowsill'}, {'label': 'C', 'text': 'vase'}]",Where can you find  a pretty flower in the ground?,park,windowsill,vase,0
B,dfec382741aee0e27fcc7f80e6de5bb2,"[{'label': 'A', 'text': 'feeling better'}, {'label': 'B', 'text': 'ardor'}, {'label': 'C', 'text': 'enlightenment'}]","James enjoyed listening to music, especially for rock.  The genre stirred his emotions.  What emotions did it probably stir?",feeling better,ardor,enlightenment,1
C,5393ba1ce298bd1ac4744c07d7373a9c,"[{'label': 'A', 'text': 'succeeding'}, {'label': 'B', 'text': 'completing'}, {'label': 'C', 'text': 'passing'}]","When you get an F, you fail. If you get A's you are?",succeeding,completing,passing,2
A,bde639645db7b2fc6eee027fd7010893,"[{'label': 'A', 'text': 'feel resentful'}, {'label': 'B', 'text': 'selling things'}, {'label': 'C', 'text': 'machine part'}]","The person was stood up on a date, what was his reaction?",feel resentful,selling things,machine part,0
C,5f65b1a832e5e784b99594d67d800ac5,"[{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'store'}, {'label': 'C', 'text': 'bedroom'}]",Bobby found the lamp beside him when he got up. Where was the lamp?,building,store,bedroom,2
A,b8b5a1b1ab579ab6fb2788796ea61be9,"[{'label': 'A', 'text': 'pressing keys'}, {'label': 'B', 'text': 'speed'}, {'label': 'C', 'text': 'digital dexterity'}]",What is required when someone is typing?,pressing keys,speed,digital dexterity,0
C,e4e720e11cb9134136ba3342f5fe403c,"[{'label': 'A', 'text': 'carpal tunnel syndrome'}, {'label': 'B', 'text': 'increased efficiency'}, {'label': 'C', 'text': 'eye strain'}]",What could using computer not cause if you are blind?,carpal tunnel syndrome,increased efficiency,eye strain,2
B,a4892551cb4beb279653ae52d0de4c89,"[{'label': 'A', 'text': 'hutch'}, {'label': 'B', 'text': 'great britain'}, {'label': 'C', 'text': 'own home'}]",What island country is ferret popular?,hutch,great britain,own home,1
C,7f1c37c50aa2826924554a969676ec63,"[{'label': 'A', 'text': 'unobservant'}, {'label': 'B', 'text': 'inelegant'}, {'label': 'C', 'text': 'inaccurate'}]",If your cutting tools aren't sharp they can lead to what kind of cut performance?,unobservant,inelegant,inaccurate,2
B,1cc14f6c9ae4435ddb4e4c520eee0065,"[{'label': 'A', 'text': 'wristwatch'}, {'label': 'B', 'text': 'office'}, {'label': 'C', 'text': 'desktop'}]","The accountant used a calculator regularly, he kept one at home and one at the what?",wristwatch,office,desktop,1
A,7ed716d0f23d70328ee55a29979672c0,"[{'label': 'A', 'text': 'sleepwalking'}, {'label': 'B', 'text': 'fear'}, {'label': 'C', 'text': 'might awaken'}]","John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?",sleepwalking,fear,might awaken,0
B,4124398ab5c08d4427169bcbf6cc91c0,"[{'label': 'A', 'text': 'propeller'}, {'label': 'B', 'text': 'electric fan'}, {'label': 'C', 'text': 'car wheel'}]",A hub motor is used in some of what breeze making devices?,propeller,electric fan,car wheel,1
C,c02f5895afab6203f031544320ec7909,"[{'label': 'A', 'text': 'ground'}, {'label': 'B', 'text': 'windowsill'}, {'label': 'C', 'text': 'park'}]",Where are plants likely to be handled by a city employee?,ground,windowsill,park,2
B,8b94d31e617fdd9a010c9381227f4788,"[{'label': 'A', 'text': 'office building'}, {'label': 'B', 'text': 'boardroom'}, {'label': 'C', 'text': 'city council meeting'}]","If you were looking for where a committee meets, where would you start?",office building,boardroom,city council meeting,1
B,450d0dede1a56eae216bd03fc3436e8c,"[{'label': 'A', 'text': 'wildlife refuge'}, {'label': 'B', 'text': 'sudan'}, {'label': 'C', 'text': 'game preserve'}]",The Mongallan gazelle to the southern region of where?,wildlife refuge,sudan,game preserve,1
A,8f4591cb370b5916557e55634396841b,"[{'label': 'A', 'text': 'freeway'}, {'label': 'B', 'text': 'race track'}, {'label': 'C', 'text': 'road'}]",Where do commuters usually move quickly?,freeway,race track,road,0
C,b4c1f1710a9293e376662efc17b26ecc,"[{'label': 'A', 'text': 'excrete'}, {'label': 'B', 'text': 'cross roads'}, {'label': 'C', 'text': 'have cancer'}]",What does not happen to all cats?,excrete,cross roads,have cancer,2
