answerKey,id,choices,stem,choice_0,choice_1,choice_2,label
B,9fd5e5c223507b45fe50ac13538d9fdc,"[{'label': 'A', 'text': 'veracious'}, {'label': 'B', 'text': 'faithful'}, {'label': 'C', 'text': 'TRUE'}]","She knew his story was untrue, she just hoped he had remained what?",veracious,faithful,TRUE,1
B,7b8624add8c1face424782586cb4eee9,"[{'label': 'A', 'text': 'being awake'}, {'label': 'B', 'text': 'wakefulness'}, {'label': 'C', 'text': 'stay awake'}]","Sam tried to go to sleep, but he couldn't.  He suffered from what?",being awake,wakefulness,stay awake,1
C,34dc2fdaa3a87c400e40b7af82b4dc4b,"[{'label': 'A', 'text': 'dull'}, {'label': 'B', 'text': 'above board'}, {'label': 'C', 'text': 'unobservant'}]",What would someone be if he or she did not see a sharp object falling in front of him or her?,dull,above board,unobservant,2
C,480906022f4ec20f6aa4366a63fac997,"[{'label': 'A', 'text': 'hospital'}, {'label': 'B', 'text': 'bedroom'}, {'label': 'C', 'text': 'michigan'}]",Where is a blanket useful to cover a horse?,hospital,bedroom,michigan,2
B,93a9ca308b01e1b4a3c3984fa56bf4e2,"[{'label': 'A', 'text': 'sure bet'}, {'label': 'B', 'text': 'favourite'}, {'label': 'C', 'text': 'safe bet'}]","Though he believed in the underdog the odds were not good enough, he instead pointed his money towards the what?",sure bet,favourite,safe bet,1
C,1ab2755b12e03bf7264e40b4fe067687,"[{'label': 'A', 'text': 'own resources'}, {'label': 'B', 'text': 'ship goods'}, {'label': 'C', 'text': 'mail order'}]",The company didn't have any local stores.  How did they sell things?,own resources,ship goods,mail order,2
A,c3ca3f7f559f8211cdbea37d8ee7eebb,"[{'label': 'A', 'text': 'space shuttle'}, {'label': 'B', 'text': 'street corner'}, {'label': 'C', 'text': 'public place'}]",Where are not many people allowed to go?,space shuttle,street corner,public place,0
B,ba3940f733a1c3211c87c29470593c0d,"[{'label': 'A', 'text': 'work area'}, {'label': 'B', 'text': 'montana'}, {'label': 'C', 'text': 'quarry'}]",Where is gruber exacavation from?,work area,montana,quarry,1
C,8935e082feb0e0f009f90cff9d2dbd88,"[{'label': 'A', 'text': 'visual'}, {'label': 'B', 'text': 'entertained'}, {'label': 'C', 'text': 'eye strain'}]","The children had been using television all Saturday morning, their parents made them go outside and play before they all suffered what?",visual,entertained,eye strain,2
A,7708588b79ab24c24924c149ffeda636,"[{'label': 'A', 'text': 'baseball stadium'}, {'label': 'B', 'text': 'soccer game'}, {'label': 'C', 'text': 'football stadium'}]",The child pounded his mitt in excitement while enjoying his first game in the bleachers where?,baseball stadium,soccer game,football stadium,0
C,c4df8055aa0e277f36ea6fd570b1e7b6,"[{'label': 'A', 'text': 'choose life'}, {'label': 'B', 'text': 'play outside'}, {'label': 'C', 'text': 'write programs'}]","If people major in computer science, what is a logical career path for them?",choose life,play outside,write programs,2
C,4a0f6e645b5005990bdc4bfbaa4fc420,"[{'label': 'A', 'text': 'with people'}, {'label': 'B', 'text': 'see people'}, {'label': 'C', 'text': 'mix'}]","I want to make new friends when I socialize at the party, what should I do?",with people,see people,mix,2
C,1231d817683850974093920eb125ae6a,"[{'label': 'A', 'text': 'service account'}, {'label': 'B', 'text': 'sell products'}, {'label': 'C', 'text': 'get fired'}]",What would happen if a salesman didn't do his job right?,service account,sell products,get fired,2
A,fbeb571abe2230a4a7eb04a32f445dc7,"[{'label': 'A', 'text': 'ashtray'}, {'label': 'B', 'text': 'coin collection'}, {'label': 'C', 'text': 'slot machine'}]","The token was tossed aside carelessly, where did it end up?",ashtray,coin collection,slot machine,0
A,424ccc1273d06f1f8008affe57910e38,"[{'label': 'A', 'text': 'army corps'}, {'label': 'B', 'text': 'brass band'}, {'label': 'C', 'text': 'american army'}]",What are you a part of if you hear a bugle in the mornings?,army corps,brass band,american army,0
C,9340a5cb2a09cbb333baaf880c44336f,"[{'label': 'A', 'text': 'crash'}, {'label': 'B', 'text': 'networked'}, {'label': 'C', 'text': 'help people'}]",John was an idealist.  He gave away internet ready computers because he wanted to do what?,crash,networked,help people,2
B,d84ec585c07940021689e8abf1ccab27,"[{'label': 'A', 'text': 'sleepwalking'}, {'label': 'B', 'text': 'memory loss'}, {'label': 'C', 'text': 'peacefulness'}]",What is someone likely to have after going into a trance?,sleepwalking,memory loss,peacefulness,1
C,330cf977078505f74ae761abd09c772c,"[{'label': 'A', 'text': 'books'}, {'label': 'B', 'text': 'sky'}, {'label': 'C', 'text': 'house'}]",Where could you find an artificial light source?,books,sky,house,2
A,4c1fbbaf92d4b2476051d7765bba61d3,"[{'label': 'A', 'text': 'gym'}, {'label': 'B', 'text': 'fridge'}, {'label': 'C', 'text': 'refrigerator'}]",Where can you get in shape and drink at a juice bar?,gym,fridge,refrigerator,0
C,723a666caa684c41e8c01f69646aa3b0,"[{'label': 'A', 'text': 'condemned'}, {'label': 'B', 'text': 'contemn'}, {'label': 'C', 'text': 'profane'}]",What kind of thing might be offensive to say to someone who has blessed you?,condemned,contemn,profane,2
A,2874d0b073dbf44cdc7588bea7f4c0a6,"[{'label': 'A', 'text': 'office'}, {'label': 'B', 'text': 'notebook'}, {'label': 'C', 'text': 'school'}]",Where is a ring binder likely to contain budgets?,office,notebook,school,0
C,4a9e633bef6712db928c1c01506d3070,"[{'label': 'A', 'text': 'dinner'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'show'}]",Where might someone have a drink and watch comedy?,dinner,refrigerator,show,2
A,4aa0a4d3b7590e9a91aed7e7c54aa364,"[{'label': 'A', 'text': 'pot'}, {'label': 'B', 'text': 'formal garden'}, {'label': 'C', 'text': 'garden center'}]",Where would I put a rosebush if I did not want to keep it outside?,pot,formal garden,garden center,0
B,3cf60dae993592ae4d8498dc61749b45,"[{'label': 'A', 'text': 'being heard'}, {'label': 'B', 'text': 'hoarse voice'}, {'label': 'C', 'text': 'change in mood'}]","John was good at singing, usually.  But today he couldn't do it.  Why can't John sing?",being heard,hoarse voice,change in mood,1
A,9ec29f101f97d7d24b562e3af4df4c1b,"[{'label': 'A', 'text': 'marching band'}, {'label': 'B', 'text': 'jazz band'}, {'label': 'C', 'text': 'brass band'}]",Where would someone have to carry their brass instrument while they played?,marching band,jazz band,brass band,0
B,b8a43f3359fdfdb78471a6a1be79fc16,"[{'label': 'A', 'text': 'experience pleasure'}, {'label': 'B', 'text': 'value life'}, {'label': 'C', 'text': 'go into debt'}]","I as a person don't kill others, why do I not?",experience pleasure,value life,go into debt,1
B,a5f084dcbeada1f17009410069720195,"[{'label': 'A', 'text': 'business meeting'}, {'label': 'B', 'text': 'chair'}, {'label': 'C', 'text': 'hospital'}]",Where is a good place to set an attache case other than a desk?,business meeting,chair,hospital,1
A,7ecff79109f499a28c77af4014e513e2,"[{'label': 'A', 'text': 'big cities'}, {'label': 'B', 'text': 'america'}, {'label': 'C', 'text': 'new york'}]","There was a fast food restaurant every 200 feet to help handle the foot traffic, what is this characteristic of in general?",big cities,america,new york,0
C,a6ae68f0eda547032a30e63fbee3fefa,"[{'label': 'A', 'text': 'look angry'}, {'label': 'B', 'text': 'bank savings'}, {'label': 'C', 'text': 'smell smoke'}]","The person turned the oven on and put a pizza in, what happened one hour later?",look angry,bank savings,smell smoke,2
C,c158a0f0bd7cbd283d6eae94f15b5c19,"[{'label': 'A', 'text': 'sparse'}, {'label': 'B', 'text': 'slender'}, {'label': 'C', 'text': 'free flowing'}]",Thick molasses isn't what?,sparse,slender,free flowing,2
A,b7f388b514e9783249e288a742b675e5,"[{'label': 'A', 'text': 'kitchens'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'pantry'}]",Where are you likely to find a tupperware container?,kitchens,refrigerator,pantry,0
A,83b8643fd4ce012d7ee712ec47b8a40a,"[{'label': 'A', 'text': 'forrest'}, {'label': 'B', 'text': 'trees'}, {'label': 'C', 'text': 'compost pile'}]",Billy was searching for leaves to add to his collection.  Where might he have looked for them?,forrest,trees,compost pile,0
B,b42222e0233cb78e0df4dcaa433c57b3,"[{'label': 'A', 'text': 'conflict'}, {'label': 'B', 'text': 'good feeling'}, {'label': 'C', 'text': 'having friends'}]",John and James loved making friends.  It gave them what?,conflict,good feeling,having friends,1
B,38a30c64be4a716f5d74dc6c99e26cdb,"[{'label': 'A', 'text': 'become disillusioned'}, {'label': 'B', 'text': 'better themselves'}, {'label': 'C', 'text': 'face problems'}]",Why do some people quit work and go back to school for?,become disillusioned,better themselves,face problems,1
C,dcc47ca49dba2d92ccbf81cc58fc0b8a,"[{'label': 'A', 'text': 'sharp claws'}, {'label': 'B', 'text': 'four legs'}, {'label': 'C', 'text': 'whiskers'}]",What is likely long on a cat?,sharp claws,four legs,whiskers,2
A,71a72b02c28c197c97265ad214129ea0,"[{'label': 'A', 'text': 'expect miracles'}, {'label': 'B', 'text': 'form friendships'}, {'label': 'C', 'text': 'think of life'}]","When a person has lost all hope, what do they tend to do?",expect miracles,form friendships,think of life,0
C,389c326ddbdd16543894fa8556e5fbde,"[{'label': 'A', 'text': 'blackouts'}, {'label': 'B', 'text': 'bad breath'}, {'label': 'C', 'text': 'get pregnant'}]",What can happen after drinking alcohol that takes a long time to finish?,blackouts,bad breath,get pregnant,2
B,f23078c510031844d854083526641be9,"[{'label': 'A', 'text': 'factory'}, {'label': 'B', 'text': 'ship'}, {'label': 'C', 'text': 'winch'}]",What is a steel cable called a wire rope primarily used for?,factory,ship,winch,1
A,b72b3a51d28bc6585464ce6088001029,"[{'label': 'A', 'text': 'medical school'}, {'label': 'B', 'text': 'golf course'}, {'label': 'C', 'text': 'nursing home'}]",Where would a doctor train before gaining a practice?,medical school,golf course,nursing home,0
C,3f3866883691430bb3ee586683320415,"[{'label': 'A', 'text': 'shrinking'}, {'label': 'B', 'text': 'could'}, {'label': 'C', 'text': 'cool off'}]",What might someone be trying to achieve by getting wet?,shrinking,could,cool off,2
C,89a0157cecaf1617b54cec139d4062d3,"[{'label': 'A', 'text': 'cooked food'}, {'label': 'B', 'text': 'get food'}, {'label': 'C', 'text': 'having dinner'}]",If someone is cooking near the end of the day what are they going to have?,cooked food,get food,having dinner,2
A,fb8c39e39a6d419b824ad4cd80ae3380,"[{'label': 'A', 'text': 'latin america'}, {'label': 'B', 'text': 'underground'}, {'label': 'C', 'text': 'dictionary'}]",Where are there millions of marmoset sitting in trees?,latin america,underground,dictionary,0
B,c2d67f7fc8ee1847db4b7ee804a55209,"[{'label': 'A', 'text': 'safe deposit box'}, {'label': 'B', 'text': 'suitcase'}, {'label': 'C', 'text': 'department store'}]",What is not a safe way to transport jewelry on vacation?,safe deposit box,suitcase,department store,1
B,26bf5528411450039c31d4b1dd1ea7e2,"[{'label': 'A', 'text': 'hear stories'}, {'label': 'B', 'text': 'play games'}, {'label': 'C', 'text': 'play with toys'}]",What might a child do with cards?,hear stories,play games,play with toys,1
A,353bf00e1541b4ab68982c654bbd4072_1,"[{'label': 'A', 'text': 'water'}, {'label': 'B', 'text': 'petri dish'}, {'label': 'C', 'text': 'ground'}]","There was a bacteria scare, so bleach was added to the well what?",water,petri dish,ground,0
B,4f79dd4b1c99219c526e23e55f88ea19,"[{'label': 'A', 'text': 'sharing information'}, {'label': 'B', 'text': 'getting tired'}, {'label': 'C', 'text': 'boredom'}]",Friday wasn't in the mood to be answering questions.  After a ten hour interrogation he was what?,sharing information,getting tired,boredom,1
B,9ef5032332a07fc810e389012f0ff376,"[{'label': 'A', 'text': 'countryside'}, {'label': 'B', 'text': 'texas'}, {'label': 'C', 'text': 'street'}]",Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,countryside,texas,street,1
A,0d59846f5eba84d6bdedb5d087449246,"[{'label': 'A', 'text': 'fainting'}, {'label': 'B', 'text': 'boredom'}, {'label': 'C', 'text': 'agitation'}]","If you lock your knees while standing in line, what may you experience?",fainting,boredom,agitation,0
B,dace6f8ae50c50fe5f5cdf25b4695d05,"[{'label': 'A', 'text': 'cum'}, {'label': 'B', 'text': 'orgasm'}, {'label': 'C', 'text': 'naked'}]","Sam liked procreating.   He didn't care about the children, but he loved a specific part of it.  What did he enjoy?",cum,orgasm,naked,1
A,a56f10f47c0869d4d6a520866cf80121,"[{'label': 'A', 'text': 'sum'}, {'label': 'B', 'text': 'similarity'}, {'label': 'C', 'text': 'sameness'}]",What will all the differences equal?,sum,similarity,sameness,0
A,70dc3efcfe798e8d5727b022a075af65,"[{'label': 'A', 'text': 'go off'}, {'label': 'B', 'text': 'taste sweet'}, {'label': 'C', 'text': 'keep fresh'}]","The argument was becoming more heated, but when somebody threw fruit at another is when things really started to what?",go off,taste sweet,keep fresh,0
C,935935e9a4752105e71635315764164a,"[{'label': 'A', 'text': 'exasperation'}, {'label': 'B', 'text': 'boredom'}, {'label': 'C', 'text': 'scrutinizing'}]",What should a savvy consumer do when being presented with proof for the effectiveness of a product that seem too good to be true?,exasperation,boredom,scrutinizing,2
C,01fd46d66fa1748c015cc496779e168e,"[{'label': 'A', 'text': 'taxi cab'}, {'label': 'B', 'text': ""cousin's house""}, {'label': 'C', 'text': 'wood pile'}]",Where can a ferret hide easily?,taxi cab,cousin's house,wood pile,2
A,ceb5a5591ba48b83349ac68dce04fd3b,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'windowsill'}, {'label': 'C', 'text': 'vase'}]",Where can you find  a pretty flower in the ground?,park,windowsill,vase,0
A,7ba380643e0bc81b0e0b5c79b3f39913,"[{'label': 'A', 'text': 'entertaining'}, {'label': 'B', 'text': 'excellent'}, {'label': 'C', 'text': 'funny'}]","People like to watch movies to escape for a couple hours, they find them very what?",entertaining,excellent,funny,0
C,dfec382741aee0e27fcc7f80e6de5bb2,"[{'label': 'A', 'text': 'enlightenment'}, {'label': 'B', 'text': 'feeling better'}, {'label': 'C', 'text': 'ardor'}]","James enjoyed listening to music, especially for rock.  The genre stirred his emotions.  What emotions did it probably stir?",enlightenment,feeling better,ardor,2
C,00d2de955e68c347a252d267826bee0b,"[{'label': 'A', 'text': 'incomplete'}, {'label': 'B', 'text': 'inappropriate'}, {'label': 'C', 'text': 'incorrect'}]","If I want to do a math problem in a proper way, what should I check for?",incomplete,inappropriate,incorrect,2
C,bde639645db7b2fc6eee027fd7010893,"[{'label': 'A', 'text': 'machine part'}, {'label': 'B', 'text': 'selling things'}, {'label': 'C', 'text': 'feel resentful'}]","The person was stood up on a date, what was his reaction?",machine part,selling things,feel resentful,2
A,5f65b1a832e5e784b99594d67d800ac5,"[{'label': 'A', 'text': 'bedroom'}, {'label': 'B', 'text': 'building'}, {'label': 'C', 'text': 'store'}]",Bobby found the lamp beside him when he got up. Where was the lamp?,bedroom,building,store,0
B,b8b5a1b1ab579ab6fb2788796ea61be9,"[{'label': 'A', 'text': 'digital dexterity'}, {'label': 'B', 'text': 'pressing keys'}, {'label': 'C', 'text': 'speed'}]",What is required when someone is typing?,digital dexterity,pressing keys,speed,1
A,c32464e6bb97c8775b064fd2cea91cb2,"[{'label': 'A', 'text': 'race track'}, {'label': 'B', 'text': 'populated areas'}, {'label': 'C', 'text': 'roadblock'}]",People gather where to watch large four-legged animals run?,race track,populated areas,roadblock,0
A,e4e720e11cb9134136ba3342f5fe403c,"[{'label': 'A', 'text': 'eye strain'}, {'label': 'B', 'text': 'increased efficiency'}, {'label': 'C', 'text': 'carpal tunnel syndrome'}]",What could using computer not cause if you are blind?,eye strain,increased efficiency,carpal tunnel syndrome,0
A,e2d32cfd2a04db3e48ed6d238e61c214,"[{'label': 'A', 'text': 'get back to work'}, {'label': 'B', 'text': 'more money'}, {'label': 'C', 'text': 'demands were met'}]",Their union had settled and they would go off strike and what?,get back to work,more money,demands were met,0
A,1cc14f6c9ae4435ddb4e4c520eee0065,"[{'label': 'A', 'text': 'office'}, {'label': 'B', 'text': 'desktop'}, {'label': 'C', 'text': 'wristwatch'}]","The accountant used a calculator regularly, he kept one at home and one at the what?",office,desktop,wristwatch,0
B,7ed716d0f23d70328ee55a29979672c0,"[{'label': 'A', 'text': 'might awaken'}, {'label': 'B', 'text': 'sleepwalking'}, {'label': 'C', 'text': 'fear'}]","John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?",might awaken,sleepwalking,fear,1
A,4124398ab5c08d4427169bcbf6cc91c0,"[{'label': 'A', 'text': 'electric fan'}, {'label': 'B', 'text': 'propeller'}, {'label': 'C', 'text': 'car wheel'}]",A hub motor is used in some of what breeze making devices?,electric fan,propeller,car wheel,0
A,c02f5895afab6203f031544320ec7909,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'windowsill'}, {'label': 'C', 'text': 'ground'}]",Where are plants likely to be handled by a city employee?,park,windowsill,ground,0
B,7c67ad88467380f15575908e70cbbaf3,"[{'label': 'A', 'text': 'great barrier reef'}, {'label': 'B', 'text': 'deep ocean'}, {'label': 'C', 'text': 'maritime museum'}]",In what environment would you expect to find a shark?,great barrier reef,deep ocean,maritime museum,1
A,8b94d31e617fdd9a010c9381227f4788,"[{'label': 'A', 'text': 'boardroom'}, {'label': 'B', 'text': 'city council meeting'}, {'label': 'C', 'text': 'office building'}]","If you were looking for where a committee meets, where would you start?",boardroom,city council meeting,office building,0
B,450d0dede1a56eae216bd03fc3436e8c,"[{'label': 'A', 'text': 'game preserve'}, {'label': 'B', 'text': 'sudan'}, {'label': 'C', 'text': 'wildlife refuge'}]",The Mongallan gazelle to the southern region of where?,game preserve,sudan,wildlife refuge,1
A,8f4591cb370b5916557e55634396841b,"[{'label': 'A', 'text': 'freeway'}, {'label': 'B', 'text': 'road'}, {'label': 'C', 'text': 'race track'}]",Where do commuters usually move quickly?,freeway,road,race track,0
B,b4c1f1710a9293e376662efc17b26ecc,"[{'label': 'A', 'text': 'excrete'}, {'label': 'B', 'text': 'have cancer'}, {'label': 'C', 'text': 'cross roads'}]",What does not happen to all cats?,excrete,have cancer,cross roads,1
A,864a0c9cebf52fcbafdf681e58f9fe1d,"[{'label': 'A', 'text': 'not harmed'}, {'label': 'B', 'text': 'harm others'}, {'label': 'C', 'text': 'hurt people'}]",Why would a person be happy about an accident?,not harmed,harm others,hurt people,0
C,15484961c7e71fc6701fa2583050ba2c,"[{'label': 'A', 'text': 'bored'}, {'label': 'B', 'text': 'enjoyable'}, {'label': 'C', 'text': 'learn new'}]","He read book after book, he always liked to do what things?",bored,enjoyable,learn new,2
