answerKey,id,choices,stem,choice_0,choice_1,choice_2,choice_3,choice_4,label
A,d5ad7198f48e18c1942498af120b1c6d,"[{'label': 'A', 'text': 'apartment building'}, {'label': 'B', 'text': 'porch'}, {'label': 'C', 'text': 'beehive'}, {'label': 'D', 'text': 'post office'}, {'label': 'E', 'text': 'front door'}]",The mailbox is just inside the entrance of what structure containing many homes?,apartment building,porch,beehive,post office,front door,0
A,ea9e9b3ebc206b50dad48aef809f99cb,"[{'label': 'A', 'text': 'fleas'}, {'label': 'B', 'text': 'wagging tails'}, {'label': 'C', 'text': 'bad breath'}, {'label': 'D', 'text': 'four legs'}, {'label': 'E', 'text': 'bones'}]",What do dogs get that make them itch?,fleas,wagging tails,bad breath,four legs,bones,0
E,a3f9db6d930684448c161ab7306402b3,"[{'label': 'A', 'text': 'bad karma'}, {'label': 'B', 'text': 'jail time'}, {'label': 'C', 'text': 'punishment'}, {'label': 'D', 'text': 'kick and kiss'}, {'label': 'E', 'text': 'will resent'}]",How is someone likely to feel about someone hurting someone else they love?,bad karma,jail time,punishment,kick and kiss,will resent,4
D,019723372ddd53350d4a7e5c295b3f3d,"[{'label': 'A', 'text': 'locker room'}, {'label': 'B', 'text': 'gy mnasiu m'}, {'label': 'C', 'text': 'seashore'}, {'label': 'D', 'text': 'motel room'}, {'label': 'E', 'text': 'bath room'}]",A shower is an expected amenity when you reserve a what?,locker room,gy mnasiu m,seashore,motel room,bath room,3
E,65e20261e5bb77dd18250db17599b002,"[{'label': 'A', 'text': 'his bedroom'}, {'label': 'B', 'text': 'restaurant'}, {'label': 'C', 'text': 'cabinet'}, {'label': 'D', 'text': 'dishwasher'}, {'label': 'E', 'text': 'table'}]",Where would my son place his paper plate?,his bedroom,restaurant,cabinet,dishwasher,table,4
B,fad197409a977126c9587eccd240ceea,"[{'label': 'A', 'text': 'theater'}, {'label': 'B', 'text': 'china'}, {'label': 'C', 'text': 'indian resteraunt'}, {'label': 'D', 'text': 'bar'}, {'label': 'E', 'text': 'space shuttle'}]",Where is that man buying silk from?,theater,china,indian resteraunt,bar,space shuttle,1
E,b75f23fae8a729c8b82b1348ad14ea53,"[{'label': 'A', 'text': 'state'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'minnesota'}, {'label': 'D', 'text': 'city'}, {'label': 'E', 'text': 'michigan'}]",Where would a dental office be furthest in the direction of the side that won the Civil War?,state,hospital,minnesota,city,michigan,4
C,f5fb653bd5d5a75dfa8e7b1afcff6092,"[{'label': 'A', 'text': 'hierarchy'}, {'label': 'B', 'text': 'chess game'}, {'label': 'C', 'text': 'deck of cards'}, {'label': 'D', 'text': 'court'}, {'label': 'E', 'text': 'chess set'}]","The magician guessed it was a king, he was very good with a what?",hierarchy,chess game,deck of cards,court,chess set,2
C,65dc0850d163d0c2041c61201b56eddb,"[{'label': 'A', 'text': 'living'}, {'label': 'B', 'text': 'files'}, {'label': 'C', 'text': 'asthma attacks'}, {'label': 'D', 'text': 'sustaining life'}, {'label': 'E', 'text': 'giving life'}]",What causes a difficulty in breathing?,living,files,asthma attacks,sustaining life,giving life,2
C,d2546aa6845be9925fdb91e0df00ce86,"[{'label': 'A', 'text': 'get laid'}, {'label': 'B', 'text': 'busy'}, {'label': 'C', 'text': 'popularity'}, {'label': 'D', 'text': 'compliments'}, {'label': 'E', 'text': 'accomplish goals'}]",This person has lots of friends what do they rank high in?,get laid,busy,popularity,compliments,accomplish goals,2
B,834d3c1c38698de9468b771d88acfb0f,"[{'label': 'A', 'text': 'castrate'}, {'label': 'B', 'text': 'belittle'}, {'label': 'C', 'text': 'diss'}, {'label': 'D', 'text': 'disregard'}, {'label': 'E', 'text': 'contemn'}]","The coach explained respect to the players before the game against the worst team in the league, he didn't want his players to what to the opponents?",castrate,belittle,diss,disregard,contemn,1
E,2cb775325df20ac6292b7ba5e2bbae02,"[{'label': 'A', 'text': 'new car'}, {'label': 'B', 'text': 'boredom'}, {'label': 'C', 'text': 'impatience'}, {'label': 'D', 'text': 'pressure'}, {'label': 'E', 'text': 'promotion'}]",He fantasied about getting a what while driving to work and the pros and cons of the extra responsibilities and benefits?,new car,boredom,impatience,pressure,promotion,4
B,771e99f1720f2a782d11a1a981edf95b,"[{'label': 'A', 'text': 'parking lot'}, {'label': 'B', 'text': 'fast food restaurant'}, {'label': 'C', 'text': 'refridgerator'}, {'label': 'D', 'text': 'refrigerator'}, {'label': 'E', 'text': 'grocery store'}]",Where can you find ketchup packets?,parking lot,fast food restaurant,refridgerator,refrigerator,grocery store,1
B,8f4591cb370b5916557e55634396841b,"[{'label': 'A', 'text': 'race track'}, {'label': 'B', 'text': 'freeway'}, {'label': 'C', 'text': 'race'}, {'label': 'D', 'text': 'city'}, {'label': 'E', 'text': 'road'}]",Where do commuters usually move quickly?,race track,freeway,race,city,road,1
A,165a96bd3b03db4079b9af92af22ae99,"[{'label': 'A', 'text': 'stringed instrument'}, {'label': 'B', 'text': 'tunnel'}, {'label': 'C', 'text': 'radio'}, {'label': 'D', 'text': 'transportation system'}, {'label': 'E', 'text': 'spectacles'}]","He admired the neck and bridge, and then decided to play the what?",stringed instrument,tunnel,radio,transportation system,spectacles,0
D,8bdb3ffad0fc498e9f27e5ee9aa98340,"[{'label': 'A', 'text': 'printer'}, {'label': 'B', 'text': 'smoke'}, {'label': 'C', 'text': 'computer'}, {'label': 'D', 'text': 'phone'}, {'label': 'E', 'text': 'having friends'}]",What do you use when chatting with friends that aren't in the same place together?,printer,smoke,computer,phone,having friends,3
A,1adf02f40e10491a6e0ae9f870cac1cf,"[{'label': 'A', 'text': 'bad mood'}, {'label': 'B', 'text': 'classroom'}, {'label': 'C', 'text': 'confusion'}, {'label': 'D', 'text': 'pair of trousers'}, {'label': 'E', 'text': 'outdoors'}]",A ferret would probably growl if it is in what kind of state?,bad mood,classroom,confusion,pair of trousers,outdoors,0
D,f75bb741497541837b92c4c2a113f5a4,"[{'label': 'A', 'text': 'wonderful thing'}, {'label': 'B', 'text': 'making love'}, {'label': 'C', 'text': 'happyness'}, {'label': 'D', 'text': 'feel good'}, {'label': 'E', 'text': 'cloud judgment'}]",What does sex often make happen in people?,wonderful thing,making love,happyness,feel good,cloud judgment,3
E,906d856bf7e85bbb59f3d3e1fa4dbb4f,"[{'label': 'A', 'text': 'virginias'}, {'label': 'B', 'text': 'minnesota'}, {'label': 'C', 'text': 'north'}, {'label': 'D', 'text': 'united states'}, {'label': 'E', 'text': 'south'}]",What part of us is virginia in?,virginias,minnesota,north,united states,south,4
C,3117b6b6df2744ed619676343c371a3e,"[{'label': 'A', 'text': 'bar'}, {'label': 'B', 'text': 'building'}, {'label': 'C', 'text': 'race track'}, {'label': 'D', 'text': 'casino'}, {'label': 'E', 'text': 'enjoy horse races'}]",Where can you find gamblers who watch four legged animals?,bar,building,race track,casino,enjoy horse races,2
C,d35112a99ab3983fb51c3adae80bc2da,"[{'label': 'A', 'text': 'waves'}, {'label': 'B', 'text': 'suitcase'}, {'label': 'C', 'text': 'beach'}, {'label': 'D', 'text': 'jacket closet'}, {'label': 'E', 'text': 'seattle'}]","He used an umbrella while tanning, where was he likely?",waves,suitcase,beach,jacket closet,seattle,2
B,2729d8502208c25d8e9293cd4e8ecbb5,"[{'label': 'A', 'text': 'third world country'}, {'label': 'B', 'text': 'human body'}, {'label': 'C', 'text': 'hospital'}, {'label': 'D', 'text': 'rug'}, {'label': 'E', 'text': 'building'}]",What can disease destroy?,third world country,human body,hospital,rug,building,1
E,dde6b3015404c2c5a5814f20b51662cd,"[{'label': 'A', 'text': 'play games'}, {'label': 'B', 'text': 'play cards'}, {'label': 'C', 'text': 'read'}, {'label': 'D', 'text': 'watch film'}, {'label': 'E', 'text': 'play chess'}]",How might one conquer boredom by controlling the destiny of imaginary kingdoms?,play games,play cards,read,watch film,play chess,4
D,e399e99ab5407f318ccca0c9c63c65cf,"[{'label': 'A', 'text': 'hold my doughnuts'}, {'label': 'B', 'text': 'many different colors'}, {'label': 'C', 'text': 'break easily'}, {'label': 'D', 'text': 'hold water'}, {'label': 'E', 'text': 'shattering'}]",What does a round glass do?,hold my doughnuts,many different colors,break easily,hold water,shattering,3
E,46051f7f9532d53f3333ca8421b08f39,"[{'label': 'A', 'text': 'satisfaction'}, {'label': 'B', 'text': 'outfit'}, {'label': 'C', 'text': 'late'}, {'label': 'D', 'text': 'injury'}, {'label': 'E', 'text': 'beauty'}]",A person who is constantly grooming is try to preserve their what?,satisfaction,outfit,late,injury,beauty,4
C,f109987290db4319f7826dfc939b1058,"[{'label': 'A', 'text': 'four legs'}, {'label': 'B', 'text': 'one mouth'}, {'label': 'C', 'text': 'teeth'}, {'label': 'D', 'text': 'two ears'}, {'label': 'E', 'text': 'two eyes'}]","The dog really liked the treats, which was good since they were for the health of his what?",four legs,one mouth,teeth,two ears,two eyes,2
A,a81cfbfcd32be2b77a8b2e1c84cac04f,"[{'label': 'A', 'text': 'basketball court'}, {'label': 'B', 'text': 'action'}, {'label': 'C', 'text': 'purse'}, {'label': 'D', 'text': 'florida'}, {'label': 'E', 'text': 'pocket'}]","The big man was all size and no talent, but the coach taught him to defend the key and make it his home on the what?",basketball court,action,purse,florida,pocket,0
C,70e80e3868e7bbcd2e54756da5b59a09,"[{'label': 'A', 'text': 'calculate things quickly'}, {'label': 'B', 'text': 'fight enemy'}, {'label': 'C', 'text': 'urinate'}, {'label': 'D', 'text': 'run'}, {'label': 'E', 'text': 'swimming'}]",Why would someone be wet after being full of fear?,calculate things quickly,fight enemy,urinate,run,swimming,2
A,e4e720e11cb9134136ba3342f5fe403c,"[{'label': 'A', 'text': 'eye strain'}, {'label': 'B', 'text': 'increased efficiency'}, {'label': 'C', 'text': 'stress'}, {'label': 'D', 'text': 'carpal tunnel syndrome'}, {'label': 'E', 'text': 'happy'}]",What could using computer not cause if you are blind?,eye strain,increased efficiency,stress,carpal tunnel syndrome,happy,0
C,9fd4737d024fb0d6a9f047bed295bddb,"[{'label': 'A', 'text': 'pantry'}, {'label': 'B', 'text': 'grocery store'}, {'label': 'C', 'text': 'refrigerator'}, {'label': 'D', 'text': 'pantry'}, {'label': 'E', 'text': 'kitchen cupboard'}]","If I had a jar which was likely to spoil if left out, where would I want to put it?",pantry,grocery store,refrigerator,pantry,kitchen cupboard,2
E,6aa6caa33c91e2a08bc2e18a1d4da225,"[{'label': 'A', 'text': 'words'}, {'label': 'B', 'text': 'naval'}, {'label': 'C', 'text': 'names'}, {'label': 'D', 'text': 'bladders'}, {'label': 'E', 'text': 'feelings'}]","The hippy wanted peace with all humans, he had strong what for them all?",words,naval,names,bladders,feelings,4
D,68b3569431a6a9ba85bf0ffa64a5d4a1,"[{'label': 'A', 'text': 'happy'}, {'label': 'B', 'text': 'competent'}, {'label': 'C', 'text': 'beneficial'}, {'label': 'D', 'text': 'excellent'}, {'label': 'E', 'text': 'sufficient'}]","She thought she had done bad on the test, but the A+ showed she had done what?",happy,competent,beneficial,excellent,sufficient,3
B,d9d23c4557eaf3d985aea51508d2ae11,"[{'label': 'A', 'text': 'drink water'}, {'label': 'B', 'text': 'eat meat'}, {'label': 'C', 'text': 'rubbish'}, {'label': 'D', 'text': 'four legs'}, {'label': 'E', 'text': 'sleep'}]",Dogs are omnivores which mean they consume plants and what?,drink water,eat meat,rubbish,four legs,sleep,1
E,0bfa6a451308d4426c23eea1ad1d4394,"[{'label': 'A', 'text': 'school'}, {'label': 'B', 'text': 'porch'}, {'label': 'C', 'text': 'library'}, {'label': 'D', 'text': 'rug'}, {'label': 'E', 'text': 'jail'}]",Where would you be unable to read a newspaper?,school,porch,library,rug,jail,4
E,89e19e81071205db271231a17ad86cc1,"[{'label': 'A', 'text': 'enter school'}, {'label': 'B', 'text': 'read book'}, {'label': 'C', 'text': 'wash dishes'}, {'label': 'D', 'text': 'do the laundry'}, {'label': 'E', 'text': 'drop out of school'}]",What might a student do if they really hate school and they'd rather get a job?,enter school,read book,wash dishes,do the laundry,drop out of school,4
D,cbd0ada3a59f5ca4f76670228796cbc7,"[{'label': 'A', 'text': 'detroit'}, {'label': 'B', 'text': 'plebian'}, {'label': 'C', 'text': 'workplace'}, {'label': 'D', 'text': 'province'}, {'label': 'E', 'text': 'construction business'}]",The country didn't want to join the union. They felt that doing so would reduce them to the status of a what?,detroit,plebian,workplace,province,construction business,3
C,d162be2dd37f5e5666814b40d7770809,"[{'label': 'A', 'text': 'bathroom'}, {'label': 'B', 'text': 'linen closet'}, {'label': 'C', 'text': 'laundry room'}, {'label': 'D', 'text': 'house'}, {'label': 'E', 'text': 'golf bag'}]",Where would you put an iron after you use it?,bathroom,linen closet,laundry room,house,golf bag,2
A,e7457fa7c80252d315a0d432791d9296,"[{'label': 'A', 'text': 'put down'}, {'label': 'B', 'text': 'put on his head'}, {'label': 'C', 'text': 'water mark'}, {'label': 'D', 'text': 'noise'}, {'label': 'E', 'text': 'picks up'}]",Joe began setting the cup on the table after Bill asked him to do what to it?,put down,put on his head,water mark,noise,picks up,0
D,6a4be6adac0b8e247851f2671e2e11ac,"[{'label': 'A', 'text': 'croquet'}, {'label': 'B', 'text': 'hockey game'}, {'label': 'C', 'text': 'sporting event'}, {'label': 'D', 'text': 'bowling alley'}, {'label': 'E', 'text': 'fridge'}]",Where would you enjoy a beer while throwing heavy spheres toward ten white objects?,croquet,hockey game,sporting event,bowling alley,fridge,3
D,732f3bad358e713fbbe6a23a242f71ad,"[{'label': 'A', 'text': 'bathroom'}, {'label': 'B', 'text': 'art show'}, {'label': 'C', 'text': 'shelf'}, {'label': 'D', 'text': 'desktop'}, {'label': 'E', 'text': 'newspaper'}]","When you want to see a picture frequently, where might you put it on your computer?",bathroom,art show,shelf,desktop,newspaper,3
C,9ad10c2414f53d53c9a1e78a1508c806,"[{'label': 'A', 'text': 'london'}, {'label': 'B', 'text': 'ireland'}, {'label': 'C', 'text': 'great britain'}, {'label': 'D', 'text': 'bahrain'}, {'label': 'E', 'text': 'england'}]",What kingdom is frequently associated with pubs?,london,ireland,great britain,bahrain,england,2
C,78cd40e8133d2426ec3089191f36ab8c,"[{'label': 'A', 'text': 'towards ocean'}, {'label': 'B', 'text': 'history book'}, {'label': 'C', 'text': 'northern hemisphere'}, {'label': 'D', 'text': 'atlas'}, {'label': 'E', 'text': 'map'}]","The astronaut wanted to find the United States from outer space, so where did he aim his spacecraft?",towards ocean,history book,northern hemisphere,atlas,map,2
D,cda49bc395edb5f3eb89fc8a8ad35df6,"[{'label': 'A', 'text': 'shopping center'}, {'label': 'B', 'text': 'strip mall'}, {'label': 'C', 'text': 'town'}, {'label': 'D', 'text': 'office building'}, {'label': 'E', 'text': 'new york city'}]",Sam didn't have to walk far to get lunch.  There was a deli on the ground floor of his what?,shopping center,strip mall,town,office building,new york city,3
D,9d25932e636f2fd43cdc06479104fe11,"[{'label': 'A', 'text': 'dropping out'}, {'label': 'B', 'text': 'stupidity'}, {'label': 'C', 'text': 'overwhelmed'}, {'label': 'D', 'text': 'much work'}, {'label': 'E', 'text': 'detention'}]",Why might some graduates choose not to be attending school later in life?,dropping out,stupidity,overwhelmed,much work,detention,3
D,fa2659dadb5f427b3a246776986df0de,"[{'label': 'A', 'text': 'the mountains'}, {'label': 'B', 'text': 'africa'}, {'label': 'C', 'text': 'ohio'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'south american country'}]","If I lived in a small village outside a city, which general geographic area would this be?",the mountains,africa,ohio,countryside,south american country,3
E,51cd47fcb3c5ef954f11654d29235146,"[{'label': 'A', 'text': 'bedroom'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'home'}, {'label': 'D', 'text': 'sun'}, {'label': 'E', 'text': 'fire'}]",What is likely to be a heat source in a log cabin?,bedroom,house,home,sun,fire,4
A,fa01c3b02ef685da10246088861f8e1b,"[{'label': 'A', 'text': 'garage'}, {'label': 'B', 'text': 'building'}, {'label': 'C', 'text': 'total number'}, {'label': 'D', 'text': ""carpenter's shop""}, {'label': 'E', 'text': 'video game'}]",What is likely to have more than one level in a city?,garage,building,total number,carpenter's shop,video game,0
A,297cde06d25ce3cf67c94c3a184c2694,"[{'label': 'A', 'text': 'cruet'}, {'label': 'B', 'text': 'cabinet'}, {'label': 'C', 'text': 'table setting'}, {'label': 'D', 'text': 'kitchen cupboard'}, {'label': 'E', 'text': 'teaspoon'}]",A saltshaker is often used with what container for lipids?,cruet,cabinet,table setting,kitchen cupboard,teaspoon,0
C,58ec886d01ad2cdf8d68f26ef3c23b66,"[{'label': 'A', 'text': 'bag'}, {'label': 'B', 'text': 'street'}, {'label': 'C', 'text': 'car'}, {'label': 'D', 'text': 'shirt pocket'}, {'label': 'E', 'text': 'drawer'}]",Where is a good place to keep an eyeglasses case in traffic?,bag,street,car,shirt pocket,drawer,2
E,b55968c939b0a6ad5d356398adb66f94,"[{'label': 'A', 'text': 'win lottery'}, {'label': 'B', 'text': 'save money'}, {'label': 'C', 'text': 'feel safe'}, {'label': 'D', 'text': 'own house'}, {'label': 'E', 'text': 'better job'}]",A person who wants to make more at their job but can't will often need to find a what?,win lottery,save money,feel safe,own house,better job,4
D,1cec2d4bff572da5c02e68c6bfb38fda,"[{'label': 'A', 'text': 'labyrinth'}, {'label': 'B', 'text': 'house or other building'}, {'label': 'C', 'text': 'classroom'}, {'label': 'D', 'text': 'art show'}, {'label': 'E', 'text': 'prison'}]",Where would works be on the wall?,labyrinth,house or other building,classroom,art show,prison,3
B,82c0a4b4d56ab5990656224723bce4a2,"[{'label': 'A', 'text': 'opera'}, {'label': 'B', 'text': 'zoo'}, {'label': 'C', 'text': 'desk'}, {'label': 'D', 'text': 'hospital'}, {'label': 'E', 'text': 'museum'}]",What place would a person go to look at zebras?,opera,zoo,desk,hospital,museum,1
C,84a736d4b702a6869d8fa8523aee6f1b,"[{'label': 'A', 'text': 'make person sick'}, {'label': 'B', 'text': 'bedroom'}, {'label': 'C', 'text': 'concert'}, {'label': 'D', 'text': 'church'}, {'label': 'E', 'text': 'building'}]",Why did the heavy metal band need electricity at the stadium?,make person sick,bedroom,concert,church,building,2
A,2603a533f5d3cb54e331815cbb308276,"[{'label': 'A', 'text': 'recalcitrant'}, {'label': 'B', 'text': 'conservadox'}, {'label': 'C', 'text': 'heretical'}, {'label': 'D', 'text': 'recalcitrant'}, {'label': 'E', 'text': 'liberal'}]","James was not an orthodox person.  Whenever he was asked to conform, he responded in what way?",recalcitrant,conservadox,heretical,recalcitrant,liberal,0
A,b031535fa9650815c3d94331acaaa59b,"[{'label': 'A', 'text': 'dimly lit room'}, {'label': 'B', 'text': 'synagogue'}, {'label': 'C', 'text': 'birthday cake'}, {'label': 'D', 'text': 'sunlight'}, {'label': 'E', 'text': 'bedroom'}]",If you're lighting a candle to see what are you in?,dimly lit room,synagogue,birthday cake,sunlight,bedroom,0
E,e6a004969d04ae354a822fef3ae0ac31,"[{'label': 'A', 'text': 'loss of innocence'}, {'label': 'B', 'text': 'enlightenment'}, {'label': 'C', 'text': 'solution'}, {'label': 'D', 'text': 'confusion'}, {'label': 'E', 'text': 'sadness'}]",WHat does learning about world poverty lead to?,loss of innocence,enlightenment,solution,confusion,sadness,4
